P56
sentence
,left,right,LI
wb,1.14,0.41,0.47
ba,3.99,0.06,0.97
sup. TG,5.22,2.41,0.37
mid. TG,3.29,1.06,0.51
inf. TG,1.75,0.0,1.0
pt,1.69,0.17,0.82
ag,1.34,0.0,1.0
 
object
,left,right,LI
whole brain,1.35,1.03,0.13
broca's area,3.82,0.75,0.67
planum temporale,0.9,0.16,0.7
angular gyrus,0.14,0.0,1.0
 
rhyme
,left,right,LI
whole brain,0.43,0.22,0.32
broca's area,1.97,0.43,0.64
planum temporale,0.6,0.04,0.87
angular gyrus,0.89,0.32,0.47
 
wordgen
,left,right,LI
whole brain,1.77,1.09,0.24
broca's area,5.09,1.59,0.52
sfg,1.71,1.49,0.07
pt,1.84,0.98,0.3
ag,0.84,0.65,0.13
 
scenemem
,left,right,LI
mTL,0.0,0.0,0.0
hippocampus,0.0,0.0,0.0
amygdala,0.0,0.0,0.0
phg,0.0,0.0,0.0
entorhinal,0.0,0.0,0.0
 
