P39
sentence
,left,right,LI
wb,1.51,1.11,0.15
ba,4.99,1.7,0.49
sup. TG,3.26,1.77,0.3
mid. TG,3.82,1.77,0.37
inf. TG,1.34,0.42,0.52
pt,0.95,0.33,0.48
ag,0.8,0.52,0.21
 
object
,left,right,LI
whole brain,0.77,0.62,0.11
broca's area,1.76,0.06,0.93
planum temporale,0.18,0.0,1.0
angular gyrus,0.07,0.11,-0.22
 
rhyme
,left,right,LI
whole brain,0.05,0.03,0.25
broca's area,0.67,0.0,1.0
planum temporale,0.08,0.0,1.0
angular gyrus,0.0,0.0,0.0
 
wordgen
,left,right,LI
whole brain,1.64,1.14,0.18
broca's area,4.13,0.9,0.64
sfg,2.28,0.83,0.47
pt,1.27,0.35,0.57
ag,1.04,0.9,0.07
 
scenemem
,left,right,LI
mTL,0.78,0.95,-0.1
hippocampus,0.52,0.83,-0.23
amygdala,0.71,0.35,0.34
phg,1.0,1.58,-0.22
entorhinal,0.1,0.29,-0.49
 
