P78
sentence
,left,right,LI
wb,0.49,0.29,0.26
ba,1.8,0.56,0.53
sup. TG,0.74,0.47,0.22
mid. TG,0.25,0.11,0.39
inf. TG,0.0,0.0,0.0
pt,0.66,0.3,0.38
ag,0.7,0.08,0.79
 
object
,left,right,LI
whole brain,1.59,1.39,0.07
broca's area,3.22,1.29,0.43
planum temporale,0.67,0.43,0.22
angular gyrus,0.14,0.06,0.4
 
rhyme
,left,right,LI
whole brain,0.97,0.7,0.16
broca's area,4.73,2.94,0.23
planum temporale,0.82,0.19,0.62
angular gyrus,1.8,0.47,0.59
 
wordgen
,left,right,LI
whole brain,1.23,1.0,0.1
broca's area,4.01,1.82,0.38
sfg,3.01,2.07,0.19
pt,0.97,0.72,0.15
ag,0.04,0.27,-0.74
 
scenemem
,left,right,LI
mTL,0.27,0.33,-0.1
hippocampus,0.37,0.45,-0.1
amygdala,0.0,0.0,0.0
phg,0.58,0.66,-0.06
entorhinal,0.0,0.04,-1.0
 
