P44
sentence
,left,right,LI
wb,1.81,1.16,0.22
ba,5.39,0.79,0.74
sup. TG,4.28,0.37,0.84
mid. TG,1.99,0.07,0.93
inf. TG,0.91,0.04,0.92
pt,1.86,0.28,0.74
ag,2.05,0.06,0.94
 
object
,left,right,LI
whole brain,1.37,1.09,0.11
broca's area,3.55,1.57,0.39
planum temporale,0.64,0.1,0.73
angular gyrus,0.67,0.04,0.89
 
rhyme
,left,right,LI
whole brain,0.2,0.05,0.6
broca's area,2.3,0.0,1.0
planum temporale,0.1,0.0,1.0
angular gyrus,0.15,0.0,1.0
 
wordgen
,left,right,LI
whole brain,1.06,0.39,0.46
broca's area,6.46,0.07,0.98
sfg,1.55,0.22,0.75
pt,1.12,0.16,0.75
ag,0.78,0.0,1.0
 
scenemem
,left,right,LI
mTL,1.49,1.76,-0.08
hippocampus,1.72,1.91,-0.05
amygdala,0.72,0.54,0.14
phg,1.35,2.25,-0.25
entorhinal,0.35,0.46,-0.14
 
