P45
sentence
,left,right,LI
wb,0.27,0.19,0.17
ba,1.62,0.41,0.6
sup. TG,0.85,0.0,1.0
mid. TG,0.13,0.0,1.0
inf. TG,0.0,0.0,0.0
pt,0.24,0.0,1.0
ag,0.02,0.0,1.0
 
object
,left,right,LI
whole brain,1.28,1.28,0.0
broca's area,2.09,2.35,-0.06
planum temporale,1.51,0.66,0.39
angular gyrus,0.49,2.31,-0.65
 
rhyme
,left,right,LI
whole brain,0.13,0.03,0.62
broca's area,1.22,0.0,1.0
planum temporale,0.49,0.12,0.61
angular gyrus,0.01,0.07,-0.75
 
wordgen
,left,right,LI
whole brain,0.41,0.44,-0.04
broca's area,0.55,0.53,0.02
sfg,0.56,0.52,0.04
pt,0.73,0.37,0.33
ag,0.0,0.73,-1.0
 
scenemem
,left,right,LI
mTL,2.46,0.22,0.84
hippocampus,2.88,0.31,0.81
amygdala,0.95,0.04,0.92
phg,2.17,0.47,0.64
entorhinal,0.69,0.13,0.68
 
