P60
sentence
,left,right,LI
wb,1.28,1.24,0.02
ba,2.6,2.66,-0.01
sup. TG,2.63,2.25,0.08
mid. TG,1.45,1.29,0.06
inf. TG,0.9,1.32,-0.19
pt,2.19,1.87,0.08
ag,0.77,1.08,-0.17
 
object
,left,right,LI
whole brain,1.26,1.36,-0.04
broca's area,1.58,2.81,-0.28
planum temporale,2.22,2.57,-0.07
angular gyrus,0.17,0.93,-0.69
 
rhyme
,left,right,LI
whole brain,0.0,0.0,0.0
broca's area,0.0,0.0,0.0
planum temporale,0.0,0.0,0.0
angular gyrus,0.0,0.0,0.0
 
wordgen
,left,right,LI
whole brain,0.25,0.28,-0.06
broca's area,1.35,2.15,-0.23
sfg,0.74,1.31,-0.28
pt,0.76,0.34,0.38
ag,0.07,0.01,0.75
 
scenemem
,left,right,LI
mTL,0.0,0.0,0.0
hippocampus,0.0,0.0,0.0
amygdala,0.0,0.0,0.0
phg,0.0,0.0,0.0
entorhinal,0.0,0.0,0.0
 
