P59
sentence
,left,right,LI
wb,0.0,0.0,0.0
ba,0.0,0.0,0.0
sup. TG,0.0,0.0,0.0
mid. TG,0.0,0.0,0.0
inf. TG,0.0,0.0,0.0
pt,0.0,0.0,0.0
ag,0.0,0.0,0.0
 
object
,left,right,LI
whole brain,0.28,0.33,-0.08
broca's area,0.0,0.0,0.0
planum temporale,0.0,0.0,0.0
angular gyrus,0.0,0.0,0.0
 
rhyme
,left,right,LI
whole brain,0.19,0.04,0.65
broca's area,0.39,0.0,1.0
planum temporale,0.64,0.0,1.0
angular gyrus,0.79,0.0,1.0
 
wordgen
,left,right,LI
whole brain,0.2,0.12,0.25
broca's area,1.57,0.0,1.0
sfg,0.2,0.39,-0.32
pt,0.58,0.13,0.63
ag,0.0,0.15,-1.0
 
scenemem
,left,right,LI
mTL,0.26,0.09,0.49
hippocampus,0.13,0.2,-0.21
amygdala,0.0,0.0,0.0
phg,0.73,0.25,0.49
entorhinal,0.0,0.0,0.0
 
