P77
sentence
,left,right,LI
wb,0.01,0.0,1.0
ba,0.0,0.0,0.0
sup. TG,0.26,0.0,1.0
mid. TG,0.06,0.0,1.0
inf. TG,0.0,0.0,0.0
pt,0.03,0.0,1.0
ag,0.0,0.0,0.0
 
object
,left,right,LI
whole brain,0.85,0.79,0.04
broca's area,2.0,0.33,0.72
planum temporale,0.22,0.23,-0.02
angular gyrus,0.11,0.01,0.83
 
rhyme
,left,right,LI
whole brain,0.21,0.06,0.56
broca's area,0.44,0.0,1.0
planum temporale,0.19,0.06,0.52
angular gyrus,0.27,0.0,1.0
 
wordgen
,left,right,LI
whole brain,0.4,0.1,0.6
broca's area,3.57,0.04,0.98
sfg,1.13,0.1,0.84
pt,0.12,0.0,1.0
ag,0.04,0.0,1.0
 
scenemem
,left,right,LI
mTL,0.04,0.18,-0.64
hippocampus,0.07,0.11,-0.22
amygdala,0.0,0.0,0.0
phg,0.23,0.49,-0.36
entorhinal,0.0,0.04,-1.0
 
