P63
sentence
,left,right,LI
wb,0.25,0.13,0.32
ba,2.19,0.74,0.49
sup. TG,0.82,0.0,1.0
mid. TG,0.76,0.0,1.0
inf. TG,0.0,0.0,0.0
pt,0.28,0.0,1.0
ag,0.26,0.0,1.0
 
object
,left,right,LI
whole brain,0.79,0.73,0.04
broca's area,2.12,1.19,0.28
planum temporale,0.21,0.21,0.0
angular gyrus,0.14,0.07,0.33
 
rhyme
,left,right,LI
whole brain,0.0,0.0,0.0
broca's area,0.0,0.0,0.0
planum temporale,0.0,0.0,0.0
angular gyrus,0.0,0.0,0.0
 
wordgen
,left,right,LI
whole brain,0.82,0.73,0.06
broca's area,4.17,2.25,0.3
sfg,1.47,1.84,-0.11
pt,0.44,0.22,0.33
ag,0.38,0.06,0.73
 
scenemem
,left,right,LI
mTL,0.31,0.37,-0.09
hippocampus,0.2,0.25,-0.11
amygdala,0.0,0.0,0.0
phg,0.82,0.81,0.01
entorhinal,0.06,0.04,0.2
 
