P54
sentence
,left,right,LI
wb,0.71,0.44,0.23
ba,4.09,1.05,0.59
sup. TG,1.68,0.13,0.86
mid. TG,1.92,0.09,0.91
inf. TG,0.17,0.0,1.0
pt,0.51,0.13,0.59
ag,1.88,0.09,0.91
 
object
,left,right,LI
whole brain,1.14,1.12,0.01
broca's area,2.85,1.52,0.3
planum temporale,0.15,0.01,0.87
angular gyrus,0.14,0.04,0.56
 
rhyme
,left,right,LI
whole brain,0.07,0.04,0.27
broca's area,0.5,0.0,1.0
planum temporale,0.02,0.0,1.0
angular gyrus,0.04,0.0,1.0
 
wordgen
,left,right,LI
whole brain,1.7,0.98,0.27
broca's area,6.89,2.33,0.49
sfg,1.71,1.2,0.18
pt,0.68,0.21,0.53
ag,1.3,0.28,0.65
 
scenemem
,left,right,LI
mTL,0.02,0.23,-0.84
hippocampus,0.05,0.23,-0.64
amygdala,0.0,0.0,0.0
phg,0.13,0.54,-0.61
entorhinal,0.0,0.01,-1.0
 
