P67
sentence
,left,right,LI
wb,0.49,0.18,0.46
ba,4.19,0.39,0.83
sup. TG,1.73,0.36,0.66
mid. TG,0.79,0.05,0.88
inf. TG,0.0,0.0,0.0
pt,0.41,0.06,0.74
ag,1.44,0.0,1.0
 
object
,left,right,LI
whole brain,0.82,0.57,0.18
broca's area,3.28,0.25,0.86
planum temporale,0.19,0.0,1.0
angular gyrus,0.55,0.0,1.0
 
rhyme
,left,right,LI
whole brain,0.73,0.39,0.3
broca's area,2.36,0.01,0.99
planum temporale,0.42,0.0,1.0
angular gyrus,0.44,0.0,1.0
 
wordgen
,left,right,LI
whole brain,1.06,0.53,0.33
broca's area,4.81,0.43,0.84
sfg,1.7,0.42,0.6
pt,0.37,0.13,0.48
ag,1.09,0.0,1.0
 
scenemem
,left,right,LI
mTL,0.12,0.13,-0.04
hippocampus,0.16,0.1,0.23
amygdala,0.0,0.03,-1.0
phg,0.32,0.39,-0.1
entorhinal,0.0,0.0,0.0
 
